tic,toi,rotulo,disposicao,setor,setores_pedidos,setores_disponiveis,periodo_publicado,duracao_publicada_h,profundidade_publicada_ppm,raio_publicado_re,tmag,arquivo
154872375,1135.01,planeta,CP,14,1,11,8.0277326,4.2840000,5705.0000000,9.0688300,9.0285500,tic154872375-s14.json
142276270,1136.02,planeta,CP,14,1,7,6.2586065,3.2010000,813.0000000,2.5159300,8.9361000,tic142276270-s14.json
349827430,1148.01,planeta,KP,14,1,10,5.5514888,4.3350000,9493.0000000,15.8043000,7.9179000,tic349827430-s14.json
69679391,1151.01,planeta,KP,14,1,7,3.4741012,3.3170000,15748.0000000,21.2912000,7.5521600,tic69679391-s14.json
158324245,1161.01,planeta,KP,14,1,12,1.7635881,3.0920000,6650.0000000,,10.2306000,tic158324245-s14.json
232967440,1173.01,planeta,CP,14,1,9,7.0643978,2.4240000,8268.0000000,9.3913100,10.2938000,tic232967440-s14.json
154089169,1174.01,planeta,CP,14,1,10,8.9534775,2.6960000,1136.0000000,2.3588800,10.2549000,tic154089169-s14.json
229510866,1181.01,planeta,CP,24,1,32,2.1031647,5.0590000,7142.0000000,16.7087000,10.0790000,tic229510866-s24.json
233087860,1184.01,planeta,CP,14,1,41,5.7484439,1.7600000,1041.0000000,2.3521500,9.9469000,tic233087860-s14.json
147950620,1194.01,planeta,CP,14,1,9,2.3106428,1.2940000,6911.0000000,8.7674100,10.4782000,tic147950620-s14.json
203189770,1198.01,planeta,KP,41,1,5,3.6127710,4.1420000,11794.0000000,19.3662000,10.4219000,tic203189770-s41.json
99869022,1199.01,planeta,CP,41,1,3,3.6714717,2.1490000,4340.0000000,10.6780000,10.4221000,tic99869022-s41.json
29960110,1201.01,planeta,CP,4,1,2,2.4919771,1.4338141,2093.9594201,2.2187585,10.9473000,tic29960110-s04.json
103633434,1235.01,planeta,CP,14,1,8,3.4447015,1.9120000,796.0000000,2.0049500,9.9192400,tic103633434-s14.json
120757718,1236.01,planeta,KP,14,1,8,3.0300715,2.5466671,21794.6136956,12.7529892,11.0248000,tic120757718-s14.json
153951307,1238.01,planeta,CP,14,1,8,3.2947689,1.7483103,1324.0402774,2.5248559,11.2582000,tic153951307-s14.json
