tic,toi,rotulo,disposicao,periodo_publicado,profundidade_publicada_ppm,periodo_recuperado,erro_periodo_rel,profundidade_pct,duracao_h,snr,pico,secundario_pct,odd_even,forma,centroide,pontos
154872375,1135.01,planeta,CP,8.0277326,5705.0000000,8.02760,0.00002,0.5098,4.281,156.48,0.8356,0.0177,0.0180,0.9091,1.7948,18420
142276270,1136.02,planeta,CP,6.2586065,813.0000000,6.27289,0.00228,0.0938,4.182,29.65,0.1541,0.0083,2.0650,0.6364,1.4702,17784
349827430,1148.01,planeta,KP,5.5514888,9493.0000000,5.55512,0.00065,0.7708,3.703,331.70,1.3188,0.0089,0.0100,0.8462,1.0905,18419
69679391,1151.01,planeta,KP,3.4741012,15748.0000000,3.47552,0.00041,1.2383,3.244,550.83,2.1546,0.0105,0.0045,0.9091,2.4034,11999
158324245,1161.01,planeta,KP,1.7635881,6650.0000000,1.76315,0.00025,0.6973,3.056,166.67,1.8718,0.0300,0.0216,0.8333,3.4288,18420
232967440,1173.01,planeta,CP,7.0643978,8268.0000000,7.05933,0.00072,0.7042,1.882,86.44,0.7800,0.0000,0.0605,0.8462,1.1942,18191
154089169,1174.01,planeta,CP,8.9534775,1136.0000000,8.95101,0.00028,0.1041,2.387,13.52,0.1118,0.0000,0.1898,0.1111,0.9363,18422
229510866,1181.01,planeta,CP,2.1031647,7142.0000000,2.10313,0.00002,0.6175,3.645,196.17,1.5588,0.0070,0.0118,1.0000,8.6329,18212
233087860,1184.01,planeta,CP,5.7484439,1041.0000000,5.74330,0.00090,0.0951,1.532,12.19,0.1058,0.0000,0.1556,0.4444,0.8863,14128
147950620,1194.01,planeta,CP,2.3106428,6911.0000000,2.30978,0.00037,0.5653,1.232,79.11,0.7888,0.0000,0.0370,0.8333,1.9534,18423
203189770,1198.01,planeta,KP,3.6127710,11794.0000000,3.61152,0.00035,1.0166,3.371,193.08,2.0873,0.0046,0.0049,0.9231,3.1111,18322
99869022,1199.01,planeta,CP,3.6714717,4340.0000000,3.67238,0.00025,0.3931,1.959,63.98,0.6296,0.0000,0.0112,0.8182,1.1208,17807
29960110,1201.01,planeta,CP,2.4919771,2093.9594201,2.49026,0.00069,0.2132,0.996,14.79,0.2696,0.0000,0.2053,0.4545,1.4034,14759
103633434,1235.01,planeta,CP,3.4447015,796.0000000,3.44175,0.00086,0.0595,2.294,12.55,0.1004,0.0000,0.0758,0.5556,18.7409,18421
120757718,1236.01,planeta,KP,3.0300715,21794.6136956,3.03062,0.00018,1.9515,2.020,171.63,3.3843,0.0000,0.0763,0.8462,8.2156,11599
153951307,1238.01,planeta,CP,3.2947689,1324.0402774,3.29286,0.00058,0.1281,1.317,11.17,0.1708,0.0000,0.0813,0.4545,2.0892,17065
219698776,1243.01,planeta,CP,4.6595169,1725.1706259,4.66333,0.00082,0.1528,0.622,7.38,0.1183,0.0115,0.2049,0.3333,0.3923,18423
219850915,1244.01,planeta,CP,6.4002807,1026.6018729,6.39081,0.00148,0.0965,2.556,9.12,0.1227,0.0000,0.4883,0.1429,0.0666,18422
230127302,1246.02,planeta,CP,4.3074513,1094.8419495,4.30323,0.00098,0.0980,1.721,8.82,0.1283,0.0197,0.1695,0.4444,0.5905,17659
232612416,1248.01,planeta,CP,4.3601536,5592.2909183,4.36189,0.00040,0.4999,1.745,46.84,0.6480,0.0022,0.0229,0.8462,0.6294,18421
278348461,1257.01,planeta,KP,5.4526479,7750.0000000,5.45733,0.00086,0.6913,2.911,113.01,1.1001,0.0000,0.0105,0.9167,3.3484,13346
288735205,1259.01,planeta,CP,3.4779776,27021.6932424,3.47674,0.00036,2.1227,2.318,216.60,3.1498,0.0000,0.0093,0.8000,1.1365,18423
424865156,1265.01,planeta,KP,2.2047452,6872.0000000,2.20382,0.00042,0.5963,3.526,185.52,1.5047,0.0149,0.0134,0.8333,0.5486,18420
158561566,1267.01,planeta,KP,6.7900981,2158.1733568,6.78184,0.00122,0.1675,5.425,15.53,0.3085,0.0092,0.0067,0.8000,0.9485,18292
198241702,1269.01,planeta,CP,4.2529641,758.5849990,1.02112,0.51981,0.0522,0.408,5.09,0.0678,0.0000,0.0253,0.2000,0.8615,16236
286923464,1271.01,planeta,KP,6.1349783,3860.0000000,6.13931,0.00071,0.3127,4.911,177.85,0.5650,0.0000,0.0349,0.9167,17.6593,15248
417948359,1272.01,planeta,CP,3.3159772,2770.0000000,3.31680,0.00025,0.2299,1.327,19.80,0.2826,0.0249,0.0270,0.2727,1.0022,15248
445859771,1273.01,planeta,CP,4.6313014,4860.0000000,4.63116,0.00003,0.3615,1.235,41.35,0.4355,0.0000,0.0218,0.7778,0.6776,14936
236445129,1282.01,planeta,KP,0.9689927,13532.9710157,0.96888,0.00012,1.2069,2.196,157.92,3.5910,0.0513,0.0218,0.8333,9.8712,12949
365733349,1288.01,planeta,CP,2.6998294,2798.0000000,2.69919,0.00024,0.2360,2.159,50.99,0.4533,0.0000,0.0643,0.8182,13.8158,13321
219015370,1294.01,planeta,CP,3.9152737,3350.0000000,3.91478,0.00013,0.2893,2.610,37.95,0.4420,0.0003,0.0012,0.9000,0.9922,19609
219852584,1295.01,planeta,CP,3.1968838,7958.9806560,3.19768,0.00025,0.7340,3.411,119.68,1.5459,0.0000,0.0022,0.9091,0.8157,14658
219854185,1296.01,planeta,CP,3.9443668,6732.4884540,3.94474,0.00009,0.6169,4.208,103.34,1.3128,0.0081,0.0038,0.9167,1.0884,14974
237104103,1298.01,planeta,CP,4.5371361,4199.7558754,4.53697,0.00004,0.4011,3.630,48.61,0.6543,0.0118,0.0368,0.6667,0.1149,14807
356867115,1301.01,planeta,CP,6.0964074,1142.4891745,6.09250,0.00064,0.1104,2.437,13.13,0.1376,0.0000,0.2925,0.3750,0.3845,18422
160708862,1337.01,planeta,KP,3.3448312,13626.0000000,3.34363,0.00036,1.1028,3.121,254.81,2.2288,0.0089,0.0005,0.8333,2.8889,17554
219852882,1346.01,planeta,CP,5.5025577,844.7022676,5.50428,0.00031,0.0776,2.936,8.22,0.1185,0.0000,0.0267,0.7000,2.2265,18424
229747848,1347.01,planeta,CP,0.8474218,424.3932848,0.84740,0.00002,0.0399,0.904,7.56,0.0828,0.0000,0.2304,0.4286,0.8459,18424
176899385,1373.01,planeta,KP,3.8529998,8913.0000000,3.85460,0.00042,0.7363,3.084,179.35,1.3709,0.0027,0.0047,0.9091,3.5682,17990
346338552,1388.01,planeta,KP,4.4652986,14440.0000000,4.46548,0.00004,1.1427,2.382,137.53,1.6715,0.0000,0.0428,0.8182,5.9531,19612
364186197,1408.01,planeta,CP,4.4247042,2447.0000000,4.42438,0.00007,0.1776,1.180,35.47,0.1845,0.0053,0.0927,0.5556,1.3085,12828
199444169,1410.01,planeta,CP,1.2168732,1240.0000000,1.21665,0.00018,0.1331,0.973,23.29,0.2372,0.0000,0.0198,0.7500,1.0201,13920
116483514,1411.01,planeta,CP,1.4520486,393.0000000,1.45251,0.00031,0.0302,1.549,11.71,0.0606,0.0003,0.0965,0.3636,0.3780,15459
158025009,1416.01,planeta,CP,1.0697621,376.0000000,1.06953,0.00021,0.0359,1.426,16.16,0.0821,0.0000,0.0997,0.4167,0.6026,15399
164173105,1417.01,planeta,CP,3.0726434,10471.4949697,0.58611,0.61850,1.1365,1.719,52.77,3.7666,0.0000,0.0140,0.7273,5.7277,14400
311035838,1419.01,planeta,KP,2.8997405,13760.0000000,2.89997,0.00008,1.1752,1.547,120.27,1.6995,0.0000,0.0034,0.8462,0.8651,13197
321857016,1420.01,planeta,CP,6.9561134,15989.2311010,6.95054,0.00080,1.4171,2.780,100.83,1.8351,0.0000,0.0085,0.9167,1.2853,14419
293954617,1430.01,planeta,CP,7.4341456,701.0000000,7.42661,0.00101,0.0858,1.980,23.15,0.0904,0.0000,0.6255,0.5385,2.4407,18421
